customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,OnlineSecurity,TechSupport,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Churn,service_count,tenure_cohort,contract_risk
40,16,1 year,Fiber optic,21.419080525482276,923.086130112545,Yes,No,No,No,Yes,Yes,Yes,3,12-24mo,1.5
41,62,2 year,DSL,24.519953178136248,7745.802451627896,No,Yes,No,No,No,Yes,No,2,24mo+,0.0
42,28,2 year,Fiber optic,26.767612263572858,3054.499952853855,No,No,Yes,Yes,Yes,No,Yes,3,24mo+,1.5
43,59,2 year,DSL,108.08175918059015,5528.514237339354,No,Yes,No,Yes,Yes,No,Yes,3,24mo+,0.0
44,22,Month-to-month,Fiber optic,24.467875833465527,5027.288692245398,Yes,No,No,No,No,Yes,No,2,12-24mo,4.5
45,49,2 year,Cable,66.27707803346495,4715.786287077595,No,Yes,Yes,Yes,Yes,No,No,4,24mo+,0.0
46,23,Month-to-month,Fiber optic,33.630423603644594,2186.19279381064,Yes,Yes,Yes,No,Yes,Yes,No,5,12-24mo,4.5
47,25,Month-to-month,Cable,83.43326827670907,4537.589768716252,Yes,Yes,No,No,Yes,No,Yes,3,24mo+,3.0
48,5,Month-to-month,Cable,112.12945793905688,1943.8874916448672,No,No,Yes,Yes,Yes,Yes,No,4,3-6mo,3.0
49,26,2 year,Fiber optic,32.049936285427954,2417.7676293110094,No,No,Yes,Yes,No,No,No,2,24mo+,1.5
50,45,2 year,Fiber optic,73.5197243693895,6705.832142146525,No,Yes,Yes,Yes,Yes,No,No,4,24mo+,1.5
51,13,Month-to-month,Fiber optic,118.11366402329978,2598.298760832535,No,No,Yes,No,Yes,No,Yes,2,12-24mo,4.5
52,45,Month-to-month,DSL,31.87961829341789,4334.241167498542,No,Yes,No,Yes,No,No,No,2,24mo+,3.0
53,6,1 year,Cable,67.22731780222195,4085.969610059296,Yes,No,Yes,No,No,Yes,No,3,3-6mo,0.0
54,71,1 year,Fiber optic,118.06049944486394,5602.282276465563,Yes,Yes,No,Yes,No,Yes,Yes,4,24mo+,1.5
55,64,2 year,DSL,118.5118184768473,1440.507556678923,Yes,No,No,No,No,No,No,1,24mo+,0.0
56,6,1 year,Fiber optic,107.09176614033709,5734.890846969743,No,Yes,Yes,No,No,Yes,No,3,3-6mo,1.5
57,43,Month-to-month,DSL,87.78312130100079,4792.242034890458,Yes,Yes,Yes,Yes,No,No,Yes,4,24mo+,3.0
58,64,2 year,DSL,88.39065245364313,439.8895539784665,No,Yes,Yes,No,Yes,No,No,3,24mo+,0.0
59,39,1 year,DSL,72.86548143967657,7027.64171645207,No,Yes,No,Yes,Yes,Yes,No,4,24mo+,0.0
60,42,2 year,Cable,66.49712984844417,3033.083496431918,No,Yes,No,No,No,Yes,No,2,24mo+,0.0
61,18,1 year,DSL,84.17305539389037,6700.069778290154,No,No,No,No,No,Yes,No,1,12-24mo,0.0
62,27,1 year,DSL,114.59671967473898,2566.2711313714904,No,No,Yes,No,No,No,No,1,24mo+,0.0
63,59,2 year,Cable,50.79440786039875,647.0399997995287,No,No,No,Yes,Yes,No,No,2,24mo+,0.0
64,40,1 year,Fiber optic,45.57064882865452,5221.314250911871,No,Yes,Yes,Yes,No,Yes,No,4,24mo+,1.5
65,27,Month-to-month,Fiber optic,95.38387929132524,4776.636785811633,No,Yes,Yes,No,Yes,No,No,3,24mo+,4.5
66,8,1 year,Fiber optic,116.72184934519908,5730.2664612550425,No,Yes,No,Yes,No,Yes,Yes,3,6-12mo,1.5
67,58,1 year,Cable,56.54873284064628,1565.8757268115771,Yes,Yes,Yes,No,No,No,Yes,3,24mo+,0.0
68,16,1 year,Fiber optic,94.99299256747425,3422.992063329903,Yes,Yes,Yes,Yes,No,Yes,Yes,5,12-24mo,1.5
69,19,2 year,Fiber optic,25.753907403046444,7145.423928340209,Yes,No,No,No,Yes,No,No,2,12-24mo,1.5
70,61,Month-to-month,Cable,112.96798530085046,7695.751728564781,No,Yes,No,Yes,Yes,No,No,3,24mo+,3.0
71,6,1 year,DSL,85.27074256637908,5754.472928377325,Yes,Yes,No,No,No,Yes,Yes,3,3-6mo,0.0
72,15,Month-to-month,DSL,21.860061771978422,2042.6618993276088,No,Yes,Yes,Yes,No,Yes,No,4,12-24mo,3.0
73,61,Month-to-month,Fiber optic,81.5140587657233,4736.257313797207,No,No,No,Yes,No,Yes,No,2,24mo+,4.5
74,40,Month-to-month,Fiber optic,27.26231809354424,7802.735559188133,No,Yes,No,Yes,No,No,Yes,2,24mo+,4.5
75,5,1 year,Cable,57.06786048889252,4578.323308906415,No,Yes,Yes,Yes,No,No,Yes,3,3-6mo,0.0
76,46,Month-to-month,DSL,103.49143371232007,4419.601131209905,No,Yes,No,Yes,Yes,No,Yes,3,24mo+,3.0
77,45,2 year,Cable,119.74383595957538,7816.298873366664,No,No,No,No,No,No,No,0,24mo+,0.0
78,3,Month-to-month,Fiber optic,46.21831709103501,1779.107575921386,Yes,No,Yes,Yes,No,No,No,3,1-3mo,4.5
79,51,Month-to-month,DSL,42.31375543222307,1166.392216701226,No,No,Yes,No,No,No,No,1,24mo+,3.0
80,7,Month-to-month,Cable,53.32899071102224,2313.842816945628,Yes,Yes,No,No,No,No,No,2,6-12mo,3.0
81,43,Month-to-month,Fiber optic,82.68649278183224,1897.765341120508,No,No,Yes,No,Yes,Yes,Yes,3,24mo+,4.5
82,8,2 year,DSL,33.49582034071488,6427.5438100207375,Yes,No,No,Yes,No,Yes,No,3,6-12mo,0.0
83,62,2 year,Cable,43.469954053426754,932.1142515315404,No,No,No,No,Yes,Yes,No,2,24mo+,0.0
84,13,2 year,Cable,95.11907600306822,6757.3646874732585,Yes,Yes,Yes,No,Yes,Yes,No,5,12-24mo,0.0
85,52,Month-to-month,Cable,102.25028975770094,7649.753242939539,Yes,No,Yes,No,No,Yes,Yes,3,24mo+,3.0
86,52,2 year,Fiber optic,24.631535206375748,3379.411259199111,Yes,Yes,No,No,Yes,Yes,No,4,24mo+,1.5
87,44,Month-to-month,DSL,71.13139493543983,5810.288629997203,Yes,No,Yes,Yes,No,No,No,3,24mo+,3.0
88,13,2 year,DSL,51.25444967279657,5026.003655336611,Yes,Yes,Yes,No,No,Yes,Yes,4,12-24mo,0.0
89,58,2 year,Cable,115.12558085209932,3212.8642580920077,No,Yes,No,No,Yes,No,Yes,2,24mo+,0.0
90,39,Month-to-month,DSL,48.41822530098192,2970.9339662506372,No,No,Yes,No,No,Yes,No,2,24mo+,3.0
91,51,Month-to-month,Fiber optic,58.06215871810104,4765.052209914463,Yes,Yes,Yes,Yes,Yes,No,No,5,24mo+,4.5
92,4,Month-to-month,Fiber optic,70.02682366514894,2095.251010442408,No,No,No,Yes,No,Yes,No,2,3-6mo,4.5
93,47,Month-to-month,Fiber optic,81.61846944843172,270.67778016326463,Yes,Yes,No,No,No,Yes,No,3,24mo+,4.5
94,69,1 year,DSL,74.97523148502948,4353.06259024829,Yes,No,No,No,No,No,No,1,24mo+,0.0
95,33,2 year,Cable,28.35359004487699,2301.029269811926,No,Yes,Yes,No,No,No,Yes,2,24mo+,0.0
96,37,2 year,DSL,39.71062673627176,1715.4197511296863,Yes,Yes,Yes,No,No,No,No,3,24mo+,0.0
97,21,Month-to-month,Fiber optic,75.13012382663854,3117.861170776117,Yes,No,Yes,Yes,Yes,No,Yes,4,12-24mo,4.5
98,30,Month-to-month,DSL,45.0517383503388,7911.062819672509,No,No,No,No,Yes,Yes,No,2,24mo+,3.0
99,31,Month-to-month,DSL,66.4984403296994,3587.359124455736,No,Yes,No,No,Yes,Yes,No,3,24mo+,3.0
100,42,Month-to-month,Fiber optic,43.24164329446261,897.0697290946504,Yes,No,Yes,No,No,No,Yes,2,24mo+,4.5
101,33,Month-to-month,Cable,63.45389153425256,2777.0034921369606,No,Yes,No,Yes,Yes,No,No,3,24mo+,3.0
102,66,2 year,Fiber optic,37.55152783179717,3300.255756395206,No,No,No,No,Yes,No,Yes,1,24mo+,1.5
103,32,2 year,DSL,94.46287319615293,7899.498942203219,No,No,Yes,Yes,Yes,Yes,No,4,24mo+,0.0
104,42,Month-to-month,Cable,110.42640965686364,6042.5698658097,No,Yes,Yes,Yes,Yes,No,No,4,24mo+,3.0
105,54,2 year,DSL,105.78987390204246,3441.198261629833,Yes,Yes,No,No,Yes,Yes,No,4,24mo+,0.0
106,46,2 year,Cable,86.89116706864137,7830.181929222632,No,Yes,Yes,No,Yes,No,Yes,3,24mo+,0.0
107,69,Month-to-month,DSL,110.62248397178485,2486.012241116145,No,No,No,Yes,Yes,No,No,2,24mo+,3.0
108,16,2 year,Fiber optic,44.49391831957875,363.9369196288315,Yes,No,No,No,Yes,No,No,2,12-24mo,1.5
109,26,Month-to-month,Cable,34.04584088577801,2331.7511966775137,No,Yes,Yes,No,No,Yes,No,3,24mo+,3.0
110,70,1 year,DSL,102.51414887868248,5199.54631290154,Yes,Yes,No,Yes,Yes,No,Yes,4,24mo+,0.0
111,16,1 year,Fiber optic,32.104653541482904,4889.359577165263,Yes,No,Yes,No,Yes,No,No,3,12-24mo,1.5
112,57,1 year,Cable,78.72657060516775,2285.467718651413,Yes,Yes,Yes,No,Yes,Yes,Yes,5,24mo+,0.0
113,25,2 year,Fiber optic,47.806237721749014,6632.576735212417,Yes,Yes,Yes,No,Yes,Yes,No,5,24mo+,1.5
114,60,1 year,Fiber optic,50.758412477115336,7058.337871393525,Yes,Yes,Yes,Yes,Yes,No,No,5,24mo+,1.5
115,43,Month-to-month,Fiber optic,51.52886071278741,6871.2422446281535,No,No,No,No,Yes,Yes,No,2,24mo+,4.5
116,35,2 year,Fiber optic,48.46650534392761,7172.314553066995,No,No,No,Yes,Yes,Yes,No,3,24mo+,1.5
117,52,2 year,Cable,99.2730248830286,795.6080442986279,No,No,No,No,Yes,No,Yes,1,24mo+,0.0
118,34,Month-to-month,Fiber optic,103.02923379199368,2172.194308460557,Yes,No,No,No,No,No,Yes,1,24mo+,4.5
119,53,2 year,Fiber optic,51.21093067262286,797.0719923222254,No,No,Yes,No,Yes,No,No,2,24mo+,1.5
120,4,Month-to-month,Fiber optic,24.04371963775646,3309.744409374553,Yes,No,Yes,No,No,Yes,No,3,3-6mo,4.5
121,13,Month-to-month,Fiber optic,58.48685028161874,528.1388803438253,Yes,Yes,Yes,No,No,Yes,No,4,12-24mo,4.5
122,38,1 year,Fiber optic,35.67573837169106,7748.461292170644,Yes,No,No,No,Yes,No,No,2,24mo+,1.5
123,23,Month-to-month,DSL,21.039853357243715,1716.5772385470932,Yes,Yes,No,No,No,No,No,2,12-24mo,3.0
124,67,Month-to-month,Fiber optic,111.65458389346826,274.94062453272727,Yes,Yes,No,No,Yes,No,Yes,3,24mo+,4.5
125,66,Month-to-month,DSL,39.960215457631726,599.4474124835457,Yes,Yes,Yes,Yes,No,No,No,4,24mo+,3.0
126,2,Month-to-month,DSL,62.63010337305953,2488.224630593489,Yes,No,Yes,Yes,Yes,Yes,No,5,1-3mo,3.0
127,68,1 year,Fiber optic,64.62102190956834,3496.59390924972,No,No,Yes,No,Yes,Yes,No,3,24mo+,1.5
128,52,1 year,Fiber optic,102.1450050526322,2108.971800562355,No,Yes,Yes,No,Yes,Yes,No,4,24mo+,1.5
129,58,2 year,DSL,48.4362944419414,3444.0028175910643,No,No,No,Yes,No,Yes,Yes,2,24mo+,0.0
130,12,2 year,Fiber optic,32.15664063023239,5443.351617249817,Yes,Yes,No,No,Yes,No,No,3,6-12mo,1.5
131,71,Month-to-month,Fiber optic,83.6779684275878,5762.638189726607,Yes,No,No,Yes,Yes,No,No,3,24mo+,4.5
132,34,Month-to-month,DSL,56.96677003548409,4993.810750050263,No,No,Yes,Yes,Yes,No,Yes,3,24mo+,3.0
133,30,1 year,Fiber optic,113.35195882731988,1203.9459432651274,Yes,No,No,No,Yes,Yes,Yes,3,24mo+,1.5
134,6,1 year,Fiber optic,33.591852141171955,191.79069552662008,No,No,No,Yes,Yes,Yes,No,3,3-6mo,1.5
135,32,1 year,DSL,106.3595217656565,1532.5098997756177,Yes,No,No,No,No,Yes,Yes,2,24mo+,0.0
136,46,Month-to-month,DSL,113.23207458091268,1696.1453333545708,Yes,Yes,Yes,No,Yes,Yes,No,5,24mo+,3.0
137,30,Month-to-month,Fiber optic,78.32179542812055,7302.789496485901,Yes,Yes,Yes,No,Yes,Yes,No,5,24mo+,4.5
138,48,1 year,DSL,47.64622538994084,1661.982774121517,Yes,No,Yes,No,No,No,Yes,2,24mo+,0.0
139,57,2 year,DSL,31.98153625585281,4649.890790075114,No,No,No,No,No,Yes,No,1,24mo+,0.0
140,24,1 year,Cable,76.46829459561876,5460.282946464616,No,Yes,Yes,No,No,Yes,No,3,12-24mo,0.0
141,61,2 year,Cable,92.62268141395154,225.0302406629045,Yes,Yes,Yes,Yes,No,No,No,4,24mo+,0.0
142,43,1 year,Cable,85.83211454985778,5585.41002510397,No,No,Yes,No,No,Yes,Yes,2,24mo+,0.0
143,9,Month-to-month,Cable,38.01816989509574,6051.569604293735,Yes,Yes,No,Yes,Yes,No,No,4,6-12mo,3.0
144,8,1 year,Cable,102.75348496101964,1684.9299672045456,Yes,Yes,Yes,No,Yes,No,No,4,6-12mo,0.0
145,37,2 year,Fiber optic,118.69562016339226,5016.170352842966,Yes,Yes,Yes,No,No,Yes,Yes,4,24mo+,1.5
146,15,Month-to-month,Cable,59.392314578140166,6969.258761943125,No,Yes,No,No,Yes,Yes,No,3,12-24mo,3.0
147,37,2 year,DSL,77.09493832706727,5718.596801699974,Yes,No,No,Yes,Yes,No,No,3,24mo+,0.0
148,16,1 year,Fiber optic,97.47522186497883,4654.696750516822,Yes,Yes,No,No,No,Yes,No,3,12-24mo,1.5
149,29,Month-to-month,Cable,78.09546504485819,3260.4577647583587,Yes,No,No,No,No,Yes,No,2,24mo+,3.0
150,21,1 year,Fiber optic,42.691732386882805,1294.3521657366346,Yes,Yes,Yes,Yes,No,Yes,No,5,12-24mo,1.5
151,23,2 year,Fiber optic,92.12373932476576,151.56433760982176,No,Yes,No,Yes,No,No,Yes,2,12-24mo,1.5
152,53,Month-to-month,Fiber optic,69.7730940363177,4996.975995329892,Yes,Yes,No,Yes,No,No,No,3,24mo+,4.5
153,13,1 year,Cable,115.34995765825091,1556.8035683104192,No,No,Yes,No,No,No,No,1,12-24mo,0.0
154,30,2 year,DSL,25.54866813005035,6059.137237891986,Yes,Yes,Yes,Yes,Yes,Yes,No,6,24mo+,0.0
155,45,1 year,Cable,116.40396988797482,7800.6820016168385,Yes,No,No,No,Yes,Yes,Yes,3,24mo+,0.0
156,64,1 year,Fiber optic,56.17405747156917,851.1769874667782,No,Yes,Yes,Yes,Yes,No,No,4,24mo+,1.5
157,65,Month-to-month,Cable,54.48219984653028,7954.99832096885,Yes,Yes,No,Yes,Yes,No,Yes,4,24mo+,3.0
158,71,1 year,Fiber optic,47.46666796875452,2221.0637457365065,Yes,No,No,Yes,No,Yes,No,3,24mo+,1.5
159,27,2 year,Cable,33.78208425514879,1033.5816543539668,Yes,Yes,No,No,No,No,No,2,24mo+,0.0
160,5,1 year,Fiber optic,52.77112574023753,4428.137420179596,No,Yes,Yes,No,Yes,Yes,Yes,4,3-6mo,1.5
161,2,1 year,DSL,73.36154964159913,3576.3887273504197,No,No,No,Yes,Yes,Yes,No,3,1-3mo,0.0
162,64,2 year,Cable,87.08910505831923,6878.963442010604,Yes,No,Yes,No,Yes,Yes,No,4,24mo+,0.0
163,27,2 year,Fiber optic,41.13087957597071,492.67053843046904,Yes,Yes,No,No,No,Yes,No,3,24mo+,1.5
164,4,2 year,DSL,44.89272976106823,725.0221262191855,Yes,No,Yes,Yes,No,Yes,No,4,3-6mo,0.0
165,61,Month-to-month,Fiber optic,30.143145266155095,6010.937573126686,No,No,Yes,Yes,No,Yes,No,3,24mo+,4.5
166,55,1 year,Fiber optic,24.09116737047268,5324.718451911685,No,No,Yes,Yes,No,Yes,No,3,24mo+,1.5
167,10,1 year,DSL,31.690152885061465,1359.0669604277737,No,No,Yes,No,Yes,Yes,No,3,6-12mo,0.0
168,43,1 year,DSL,89.43042425069196,5971.205781220544,Yes,Yes,Yes,No,No,No,No,3,24mo+,0.0
169,22,1 year,Cable,80.6094369704493,4881.582495569127,Yes,No,Yes,Yes,No,No,Yes,3,12-24mo,0.0
170,52,2 year,Cable,20.834538335298273,3577.099292382482,No,No,Yes,No,Yes,Yes,No,3,24mo+,0.0
171,15,1 year,Fiber optic,86.23793253204036,3245.2769331234476,No,Yes,Yes,No,No,No,No,2,12-24mo,1.5
172,47,1 year,DSL,36.584023960400685,4780.036074525129,Yes,Yes,No,Yes,No,No,No,3,24mo+,0.0
173,51,2 year,Fiber optic,103.94708851752556,6642.846958925601,No,Yes,No,Yes,Yes,Yes,No,4,24mo+,1.5
174,57,1 year,DSL,34.72015791656953,4732.961499221585,Yes,No,Yes,Yes,Yes,Yes,Yes,5,24mo+,0.0
175,63,1 year,Cable,91.62430052909735,3488.8011046887195,Yes,Yes,Yes,No,No,No,No,3,24mo+,0.0
176,62,2 year,Cable,115.77722365905085,356.60123428742645,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,24mo+,0.0
177,17,Month-to-month,Fiber optic,67.49421369041417,6789.429278259525,Yes,No,No,No,No,No,Yes,1,12-24mo,4.5
178,17,2 year,Fiber optic,25.25464724588618,6805.628416646727,No,Yes,No,No,Yes,Yes,No,3,12-24mo,1.5
179,44,1 year,DSL,55.65751813448282,4473.562207190572,Yes,Yes,No,Yes,Yes,Yes,No,5,24mo+,0.0
180,48,1 year,DSL,78.71780621620361,1284.915884044928,No,No,Yes,Yes,Yes,No,Yes,3,24mo+,0.0
181,34,2 year,DSL,39.97853615298472,6231.74348596988,No,No,No,No,No,No,Yes,0,24mo+,0.0
182,18,2 year,DSL,25.3923942466778,580.4622556897152,Yes,Yes,Yes,Yes,Yes,No,No,5,12-24mo,0.0
183,11,1 year,Fiber optic,56.93875248731581,7364.908689491996,No,Yes,Yes,No,Yes,No,No,3,6-12mo,1.5
184,35,1 year,Cable,106.18492519938292,2280.866329811759,Yes,No,Yes,Yes,No,No,No,3,24mo+,0.0
185,14,Month-to-month,DSL,68.17489244936854,2920.971299898688,Yes,Yes,No,No,Yes,Yes,No,4,12-24mo,3.0
186,12,2 year,Cable,107.82166035306705,3853.123847837364,No,No,Yes,No,No,Yes,Yes,2,6-12mo,0.0
187,51,2 year,Cable,112.9152242855222,4065.686914867761,No,Yes,No,No,Yes,No,No,2,24mo+,0.0
188,45,1 year,DSL,40.52196323588243,1716.424203938064,Yes,Yes,Yes,Yes,Yes,Yes,No,6,24mo+,0.0
189,65,1 year,Cable,32.963671229111796,7668.997458564258,Yes,Yes,No,No,No,No,No,2,24mo+,0.0
190,1,Month-to-month,Fiber optic,62.94985550281068,6961.574582820728,No,Yes,Yes,Yes,Yes,No,No,4,0-1mo,4.5
191,44,Month-to-month,Fiber optic,51.308902547853165,3960.6872817736216,No,Yes,No,Yes,No,No,Yes,2,24mo+,4.5
192,54,Month-to-month,DSL,93.86633312348516,6420.676701592542,No,Yes,Yes,No,Yes,Yes,Yes,4,24mo+,3.0
193,19,2 year,DSL,34.99794059697178,2378.0965101283887,No,Yes,Yes,Yes,No,No,Yes,3,12-24mo,0.0
194,25,1 year,Cable,60.72439723324276,566.2068200802145,Yes,No,No,Yes,Yes,Yes,No,4,24mo+,0.0
195,42,1 year,DSL,73.16819168885701,2283.3512348493646,Yes,Yes,Yes,No,No,Yes,No,4,24mo+,0.0
196,18,1 year,DSL,42.17779995263508,1964.2796610404264,No,Yes,Yes,No,Yes,Yes,No,4,12-24mo,0.0
197,63,2 year,Fiber optic,70.61962732346853,3551.9372499292294,No,Yes,No,Yes,Yes,Yes,Yes,4,24mo+,1.5
198,47,2 year,Cable,39.39934907122137,3220.4282186111805,No,No,No,Yes,No,Yes,No,2,24mo+,0.0
199,67,2 year,Cable,55.77887585489542,7794.839303926923,Yes,Yes,Yes,No,No,No,No,3,24mo+,0.0
200,34,1 year,DSL,74.42364140607037,2221.7864613597153,No,Yes,No,No,Yes,No,No,2,24mo+,0.0
201,69,Month-to-month,DSL,62.858189218406906,6841.688953691605,Yes,No,Yes,Yes,No,No,Yes,3,24mo+,3.0
202,49,1 year,Fiber optic,85.92976679240664,166.42120168697582,Yes,No,No,No,No,No,No,1,24mo+,1.5
203,66,2 year,DSL,43.801576396526755,2183.763700960962,Yes,Yes,Yes,No,No,Yes,No,4,24mo+,0.0
204,30,Month-to-month,Fiber optic,62.930902761712765,4900.779555890917,Yes,Yes,Yes,No,No,No,No,3,24mo+,4.5
205,11,2 year,Cable,23.828304826589537,479.5020729670628,No,Yes,Yes,Yes,Yes,Yes,No,5,6-12mo,0.0
206,12,1 year,Fiber optic,115.43775846932454,2851.034985359662,Yes,Yes,Yes,Yes,No,Yes,Yes,5,6-12mo,1.5
207,41,1 year,Cable,96.51355419953214,1425.435194503793,No,Yes,No,No,Yes,No,Yes,2,24mo+,0.0
208,39,2 year,Cable,107.98787921130962,244.31711317128293,Yes,Yes,No,No,No,No,No,2,24mo+,0.0
209,3,1 year,DSL,86.83559241562243,184.5961395708348,No,Yes,No,No,No,Yes,Yes,2,1-3mo,0.0
210,63,2 year,Cable,69.44899434822538,4466.474809932308,Yes,Yes,No,No,No,No,No,2,24mo+,0.0
211,39,1 year,Fiber optic,81.74634076870466,3452.073403477269,Yes,Yes,Yes,Yes,No,No,No,4,24mo+,1.5
212,48,2 year,Cable,89.74252361625702,804.3657921415931,Yes,Yes,No,Yes,No,No,No,3,24mo+,0.0
213,19,2 year,Fiber optic,110.71285757145785,5424.138574185784,Yes,Yes,Yes,Yes,No,No,Yes,4,12-24mo,1.5
214,32,2 year,Cable,32.02991448496504,720.2193851071735,No,Yes,Yes,Yes,Yes,Yes,Yes,5,24mo+,0.0
215,59,2 year,Fiber optic,53.672577533012,2718.655181783244,Yes,Yes,Yes,No,Yes,Yes,No,5,24mo+,1.5
216,15,2 year,Cable,37.897692540149144,3269.84915180967,No,Yes,No,Yes,No,Yes,No,3,12-24mo,0.0
217,61,2 year,DSL,118.23293630117452,1565.0559028212674,Yes,Yes,No,Yes,Yes,Yes,Yes,5,24mo+,0.0
218,69,2 year,Fiber optic,108.38033364515236,2994.507268834488,Yes,Yes,No,Yes,No,Yes,No,4,24mo+,1.5
219,62,Month-to-month,DSL,40.966049436922255,5278.184138195577,Yes,Yes,No,Yes,No,No,No,3,24mo+,3.0
220,33,Month-to-month,Cable,60.855181048978,1071.8011743528846,Yes,No,No,Yes,No,No,No,2,24mo+,3.0
